step=375 time=0.379047s cnt=22370 avg=16.944435
step=376 time=0.423692s cnt=22311 avg=18.990274
step=377 time=0.414585s cnt=22251 avg=18.632196
step=378 time=0.412836s cnt=22193 avg=18.602082
step=379 time=0.407049s cnt=22134 avg=18.390214
step=380 time=0.388697s cnt=22076 avg=17.607221
step=381 time=0.404648s cnt=22018 avg=18.378054
step=382 time=0.404391s cnt=21960 avg=18.414891
step=383 time=0.389072s cnt=21903 avg=17.763411
step=384 time=0.366166s cnt=21846 avg=16.761238
step=385 time=0.390394s cnt=21789 avg=17.917022
step=386 time=0.392291s cnt=21733 avg=18.050476
step=387 time=0.381929s cnt=21676 avg=17.619902
step=388 time=0.384451s cnt=21621 avg=17.781370
step=389 time=0.393872s cnt=21565 avg=18.264410
step=390 time=0.407367s cnt=21510 avg=18.938494
step=391 time=0.402561s cnt=21455 avg=18.763039
step=392 time=0.394462s cnt=21400 avg=18.432804
step=393 time=0.433587s cnt=21346 avg=20.312330
step=394 time=0.413663s cnt=21291 avg=19.429008
step=395 time=0.411913s cnt=21237 avg=19.396007
step=396 time=0.390800s cnt=21184 avg=18.447885
step=397 time=0.391867s cnt=21130 avg=18.545528
step=398 time=0.407458s cnt=21077 avg=19.331878
step=399 time=0.418005s cnt=21025 avg=19.881332
step=400 time=0.402625s cnt=20972 avg=19.198217
step=401 time=0.402613s cnt=20920 avg=19.245363
step=402 time=0.400719s cnt=20868 avg=19.202559
step=403 time=0.400348s cnt=20816 avg=19.232706
step=404 time=0.403963s cnt=20764 avg=19.454970
step=405 time=0.377834s cnt=20713 avg=18.241394
step=406 time=0.355197s cnt=20662 avg=17.190833
step=407 time=0.425615s cnt=20611 avg=20.649896
step=408 time=0.358325s cnt=20561 avg=17.427411
step=409 time=0.388272s cnt=20511 avg=18.929940
step=410 time=0.403730s cnt=20461 avg=19.731685
step=411 time=0.381510s cnt=20411 avg=18.691392
step=412 time=0.385459s cnt=20361 avg=18.931241
step=413 time=0.386593s cnt=20312 avg=19.032739
step=414 time=0.409594s cnt=20263 avg=20.213887
step=415 time=0.393844s cnt=20214 avg=19.483724
step=416 time=0.410824s cnt=20165 avg=20.373122
step=417 time=0.382519s cnt=20117 avg=19.014714
step=418 time=0.388489s cnt=20069 avg=19.357666
step=419 time=0.403532s cnt=20021 avg=20.155437
step=420 time=0.375993s cnt=19973 avg=18.825064
step=421 time=0.393498s cnt=19926 avg=19.747967
step=422 time=0.364974s cnt=19879 avg=18.359777
step=423 time=0.387199s cnt=19832 avg=19.523951
step=424 time=0.390247s cnt=19785 avg=19.724387
step=425 time=0.381556s cnt=19738 avg=19.331037
step=426 time=0.386483s cnt=19692 avg=19.626397
step=427 time=0.386338s cnt=19646 avg=19.664970
step=428 time=0.374578s cnt=19600 avg=19.111122
step=429 time=0.394203s cnt=19554 avg=20.159712
step=430 time=0.390503s cnt=19509 avg=20.016556
step=431 time=0.385174s cnt=19464 avg=19.789046
step=432 time=0.387379s cnt=19419 avg=19.948453
step=433 time=0.379557s cnt=19374 avg=19.591050
step=434 time=0.368538s cnt=19329 avg=19.066584
step=435 time=0.387520s cnt=19285 avg=20.094374
step=436 time=0.385362s cnt=19240 avg=20.029210
step=437 time=0.388197s cnt=19196 avg=20.222807
step=438 time=0.380768s cnt=19153 avg=19.880332
step=439 time=0.363946s cnt=19109 avg=19.045790
step=440 time=0.371138s cnt=19066 avg=19.465960
step=441 time=0.372799s cnt=19022 avg=19.598307
step=442 time=0.372301s cnt=18979 avg=19.616471
step=443 time=0.367635s cnt=18936 avg=19.414607
step=444 time=0.355554s cnt=18894 avg=18.818355
step=445 time=0.388929s cnt=18851 avg=20.631744
step=446 time=0.345249s cnt=18809 avg=18.355521
step=447 time=0.377359s cnt=18767 avg=20.107582
step=448 time=0.353449s cnt=18725 avg=18.875781
step=449 time=0.387631s cnt=18683 avg=20.747792
step=450 time=0.368889s cnt=18642 avg=19.788059
step=451 time=0.356628s cnt=18601 avg=19.172518
step=452 time=0.356231s cnt=18559 avg=19.194515
step=453 time=0.351659s cnt=18518 avg=18.990118
step=454 time=0.342454s cnt=18478 avg=18.533066
step=455 time=0.365273s cnt=18437 avg=19.811954
step=456 time=0.351615s cnt=18397 avg=19.112627
step=457 time=0.369932s cnt=18356 avg=20.153192
step=458 time=0.376923s cnt=18316 avg=20.578893
step=459 time=0.350237s cnt=18276 avg=19.163767
step=460 time=0.357137s cnt=18237 avg=19.583100
step=461 time=0.352150s cnt=18197 avg=19.352091
step=462 time=0.360609s cnt=18158 avg=19.859511
step=463 time=0.358847s cnt=18118 avg=19.806104
step=464 time=0.349185s cnt=18079 avg=19.314398
step=465 time=0.354218s cnt=18041 avg=19.634056
step=466 time=0.358650s cnt=18002 avg=19.922786
step=467 time=0.375805s cnt=17963 avg=20.921060
step=468 time=0.340400s cnt=17925 avg=18.990237
step=469 time=0.343968s cnt=17887 avg=19.230055
step=470 time=0.345417s cnt=17849 avg=19.352177
step=471 time=0.363312s cnt=17811 avg=20.398181
step=472 time=0.349000s cnt=17773 avg=19.636527
step=473 time=0.360542s cnt=17735 avg=20.329405
step=474 time=0.340129s cnt=17698 avg=19.218499
